 time            v(in)           v(out)          i(vdd)         
 2.48500000e-09  3.30000000e+00  4.07549030e-06  1.77593077e-08 
 2.49500000e-09  3.30000000e+00 -4.00847229e-06 -1.75637743e-08 
 2.50500000e-09  3.30000000e+00  3.98888991e-06  1.73603364e-08 
 2.51500000e-09  3.30000000e+00 -3.92323186e-06 -1.71755658e-08 
 2.52500000e-09  3.30000000e+00  3.90416532e-06  1.69825999e-08 
 2.53500000e-09  3.30000000e+00 -3.83983602e-06 -1.68080193e-08 
 2.54500000e-09  3.30000000e+00  3.82127372e-06  1.66249681e-08 
 2.55500000e-09  3.30000000e+00 -3.75824280e-06 -1.64600351e-08 
 2.56500000e-09  3.30000000e+00  3.74017343e-06  1.62863710e-08 
 2.57500000e-09  3.30000000e+00 -3.67841128e-06 -1.61305720e-08 
 2.58500000e-09  3.30000000e+00  3.66082381e-06  1.59657954e-08 
 2.59500000e-09  3.30000000e+00 -3.60030162e-06 -1.58186444e-08 
 2.60500000e-09  3.30000000e+00  3.58318528e-06  1.56622822e-08 
 2.61500000e-09  3.30000000e+00 -3.52387496e-06 -1.55233188e-08 
 2.62500000e-09  3.30000000e+00  3.50721927e-06  1.53749232e-08 
 2.63500000e-09  3.30000000e+00 -3.44909345e-06 -1.52437116e-08 
 2.64500000e-09  3.30000000e+00  3.43288818e-06  1.51028586e-08 
 2.65500000e-09  3.30000000e+00 -3.37592017e-06 -1.49789863e-08 
 2.66500000e-09  3.30000000e+00  3.36015534e-06  1.48452744e-08 
 2.67500000e-09  3.30000000e+00 -3.30431915e-06 -1.47283507e-08 
 2.68500000e-09  3.30000000e+00  3.28898501e-06  1.46013999e-08 
 2.69500000e-09  3.30000000e+00 -3.23425528e-06 -1.44910550e-08 
 2.70500000e-09  3.30000000e+00  3.21934232e-06  1.43705054e-08 
 2.71500000e-09  3.30000000e+00 -3.16569434e-06 -1.42663892e-08 
 2.72500000e-09  3.30000000e+00  3.15119328e-06  1.41519000e-08 
 2.73500000e-09  3.30000000e+00 -3.09860293e-06 -1.40536809e-08 
 2.74500000e-09  3.30000000e+00  3.08450471e-06  1.39449297e-08 
 2.75500000e-09  3.30000000e+00 -3.03294847e-06 -1.38522939e-08 
 2.76500000e-09  3.30000000e+00  3.01924425e-06  1.37489753e-08 
 2.77500000e-09  3.30000000e+00 -2.96869917e-06 -1.36616255e-08 
